metabolite	PMN_74	PMN_75	PMN_76	PMN_77	PMN_78	PMN_79	PMN_80	PMN_81	PMN_82	PMN_83	PMN_84	PMN_85	PMN_86	PMN_87	PMN_88	PMN_89	PMN_90	PMN_91	PMN_92	PMN_02	PMN_03	PMN_04	PMN_05	PMN_06	PMN_07	PMN_08	PMN_10	PMN_12	PMN_13	PMN_14	PMN_15	PMN_16	PMN_19	PMN_21	PMN_22	PMN_25	PMN_27	PMN_28	PMN_29	PMN_32	PMN_34	PMN_35	PMN_36	PMN_38	PMN_40	PMN_41	PMN_42	PMN_43	PMN_46	PMN_48	PMN_49	PMN_50	PMN_51	PMN_52	PMN_53	PMN_54	PMN_55	PMN_56	PMN_57	PMN_58	PMN_59	PMN_60	PMN_61	PMN_62	PMN_63	PMN_64	PMN_65	PMN_66	PMN_67	PMN_68	PMN_69	PMN_70	PMN_71	PMN_72	PMN_73
Carnitine (6:0)	13230549	13189843	41337307	31664269	33419627	17661559	24009395	35868022	42632788	68532563	24378175	22751207	59100420	30350638	32306847	36528123	20674500	18574327	32871830	68157168	63718971	87678391	34256204	14386146	53529132	56154437	31000379	20006138	47940592	60157504	75243228	52152665	48725992	29395035	62970975	44098757	10998291	37094454	14185632	32231708	21289206	24561413	26858753	37038807	48004551	46846675	55476787	38803715	34060999	23502814	30799288	87639072	75094948	71579257	45445294	54382846	50827072	1.127401e+08	60552285	40580464	35717258	26750137	56813999	36554942	69684504	29914139	63588097	59019493	25609236	61885648	44856703	63925414	50250237	38378467	24495989
Carnitine (8:0)	4039265.4	30306664	9402790.4	11620915	10667218	7253005.1	7746103.9	6021537.3	10467408	16966073	17856838	7335697.7	14998132	7622478.4	10004340	10251059	6559109.9	7044285.4	9818241.7	17384983	13208683	22903221	7011642.9	5097015.7	15571682	11059664	7680410	4255814.5	11275856	16686678	16359215	13230549	12382621	8107503.2	15937342	11638449	1438733.4	10861200	3601231.4	7461267.3	10468386	4699603.1	5197773.8	12370217	13230549	11233044	14444780	9871595.7	11474192	7435247.7	7058886.5	19118704	19758045	19786136	14831492	20554512	11725387	27439488	22156310	8187482	8506980.7	6728711.5	14531923	17699257	18134710	7478188.2	16393250	11984094	7846846.8	26511244	9217861.8	14984023	11507793	10690819	6293585.9
Carnitine (glutaryl)	386823.51	3671.0983	332650.23	64385.485	721840.19	816951.73	111118.2	149353.31	357898.31	82025.02	2285530.7	179406.77	1004706	179755.78	378856.71	4613.5173	83644.88	567993.21	40246.257	7018.7561	153600.76	5917.054	35599.954	151883.56	86824.92	39011.38	8331.5641	42706.374	60631.043	911112.33	42094.736	1833037.8	46458.516	7256.2363	326045.88	1073521.1	78961.869	686216.21	270457.22	98409.85	157165.98	122644.68	9978.3578	326696.03	9687.5187	320637.33	132741.87	888262.23	212152.53	65101.858	7856.3566	282648.74	85876.688	894041.71	1469453.7	239884.35	147874.22	90140.797	492013.58	51664.314	1589588	15114.387	14500.931	9445.7583	800913.31	1559506.2	104304.28	395079.31	5296.45	8141545.3	221789.67	6589.4001	59099.491	130759.52	34261.193
Carnosine	1023813	517029.13	3177404	3689897.1	2300014.6	1687429	1569532.7	779755.32	1087010.1	1201635.5	1860125	1497719.6	1228555.2	921627.48	1306984.7	3592410.2	1156009.3	4175322.7	1997047.3	727209.3	843713.84	1520940.3	2637795.9	2534696	2787865.1	801374.53	2219184.7	1273356.4	911434.66	1661761.7	987284.04	791386.4	18474.508	995164.56	448093.04	123172.25	2492851.6	157798.25	2576614.4	1099239.5	227908.03	195961.39	936539.8	299154.97	190911.36	403274.87	7346312.7	1451495.5	454414.51	77353.841	597338.78	117725.09	605185.67	3120406.6	117601.01	1172909.3	671575.68	1527884.8	1342222.4	1035338.2	478069	1428052.9	2936127.2	2548084	857436.95	334600.03	554815.51	2828988.2	3217969.8	1681657.1	1915558.7	287282.27	816279.25	377749.61	1170347.5
CDP-ethanolamine	41902611	41719692	44075437	34738001	41476314	47410917	25440439	34533027	38314273	49712652	42633091	45308613	45400283	49327322	61201262	50120117	45131957	31542454	37230726	32533382	80910196	26565521	24458578	33246441	34702501	21665280	27993008	30556565	21255386	46692148	26843257	15935690	29999513	20685667	29752485	39367084	19904514	39274375	23292791	25348293	20550680	29389917	39458761	13230549	26063242	32564696	33254257	31381613	27996786	19155584	36827118	33905649	28797839	41725559	30800455	61357083	48239965	46381262	50325821	15876887	40930190	13663022	35301295	44879376	35941673	38648496	25229815	22322382	50831568	28739735	28649714	43190908	29691514	36540422	31180378
choline	5.3705449e+09	4.6086514e+09	4.6820916e+09	5.6229834e+09	4.7080586e+09	7.2831975e+09	5.316697e+09	1.7947172e+10	1.5947958e+10	4.1061685e+09	7.5202905e+09	1.731446e+10	8.797026e+09	4.4157867e+09	8.1350288e+09	7.7694243e+09	6.0748057e+09	9.451599e+09	5.4856698e+09	1.5043614e+10	2.0063312e+09	2.2646941e+09	3.6291652e+09	3.5700778e+09	1.7632641e+10	9.1074416e+09	2.0408473e+10	1.9614531e+10	4.4459188e+09	3.8793324e+10	2.2675146e+10	4.0527019e+09	1.4549325e+10	4.7768749e+09	3.6710194e+10	2.2927865e+10	5.8044858e+09	2.3108167e+10	4.0524877e+09	4.7327561e+09	5.7888051e+09	8.146723e+09	2.1387061e+10	8.8164538e+09	5.042611e+09	8.3203596e+09	1.9609667e+10	6.5332785e+09	2.8051873e+10	1.1040847e+10	8.178885e+09	1.5377681e+10	2.1492104e+10	2.3662449e+10	3.5015425e+09	3.7249009e+09	2.1634747e+10	9.1483863e+09	1.6767147e+10	9.5612895e+09	3.4084181e+10	3.2395342e+10	1.4208226e+10	1.3159586e+10	2.735306e+09	1.6050111e+10	7.3477703e+09	1.5820804e+10	3.8921548e+10	2.2884126e+10	3.844087e+09	1.1096923e+10	1.420638e+10	4.3964864e+09	4.1781537e+09
cis-4-Hydroxyproline	31410704	2.7469364e+08	16019490	24162507	24743793	19760262	24125551	32578092	22477933	11475373	5.6160911e+08	32931798	21492866	13456166	16004390	18602154	13824129	14314655	17707577	9301841.6	30731422	22965318	5926149.6	47633594	18719041	11437951	14566526	25205194	21095819	25776240	22668952	14829642	40191253	26176914	22822472	26840925	23531091	45861928	9240810.9	23243364	29507993	17362723	57893181	7802092.4	25603362	27784413	37018552	35578083	27625119	41441944	11497650	32880548	45288899	48616607	25801121	33781300	56330601	13230549	51163464	35199764	33012471	8764990.1	28153702	46737445	42624895	55578812	24871895	22108835	52433264	31604099	80124061	18096435	22036197	26820197	43215939
Citicoline	6439651.5	7274180.7	14759663	3661341.1	11269231	9302134.3	8551252.2	4850614.8	9669592.2	21564584	9245101.1	11482516	15388774	10456368	18769017	13596544	20570729	18678152	8589284.9	6182481.6	10580630	3113051.2	7362406.8	6867898.8	12828206	8796864.5	5772080	4234199.3	2251380.9	11785154	7781314.2	1464288.8	8384441.5	4425400.3	7918412.5	8703708.6	4956958.7	7860557.9	7587831.5	7298074.4	9408051.5	7276355.7	7347355.2	6136467.7	4876121.8	6556466.6	14169207	7596506.2	21073134	9725428.5	16589521	8423344.7	4591336.6	6264473.6	4746779.5	13671965	12201393	17485733	22452831	2280307	4427317.3	3308744.5	5057819.9	18321964	5185239.3	5472474.6	3972902.7	8419615.7	11550166	6400433	9124797.7	8754043.5	9317936.2	5212800.3	12403873
Citrulline	1.6498565e+08	2.1000696e+08	2.1526402e+08	1.8925809e+08	1.0686666e+08	1.4978309e+08	91337870	3.4452273e+08	2.9284269e+08	2.2353877e+08	3.1120635e+08	1.9812657e+08	1.8052942e+08	1.353253e+08	1.4686268e+08	1.785666e+08	78030977	2.0740298e+08	2.0930722e+08	1.0458959e+08	80338427	1.0443709e+08	62264015	1.9694925e+08	1.6739443e+08	58899655	2.0920746e+08	1.1892273e+08	51051337	2.8168109e+08	1.5398196e+08	2.046983e+08	1.1427357e+08	1.3588635e+08	3.5744358e+08	1.9322027e+08	1.1212651e+08	1.2072572e+08	85464879	1.0175134e+08	64463173	2.7457031e+08	2.1604284e+08	3.2648517e+08	2.3044081e+08	2.7352001e+08	2.5631161e+08	1.885372e+08	1.3079626e+08	1.5076084e+08	56729815	1.3561205e+08	94382830	2.0551281e+08	99590092	1.0934033e+08	84072104	1.2874841e+08	1.3833638e+08	42530204	62727774	72624879	1.5314188e+08	1.1211921e+08	1.7018683e+08	1.3083773e+08	34972465	1.6402317e+08	40592679	1.7801714e+08	2.3168869e+08	1.9093167e+08	1.6388135e+08	1.1213247e+08	1.0119425e+08
CMP-2-aminoethylphosphonate	520664.25	440656.26	654425.15	742066.28	783833.9	1643770.4	387289.94	514397.93	425430.92	925475.79	646757.33	540286.85	1080216.8	1217225.4	909272.03	798808.13	769226.27	941398.09	1173109.8	597484.64	929320.86	492417.5	1111480	1092235.9	646757.48	829615.17	345525.27	1212758	1254569.8	544787.4	616064.15	788531.3	888498.72	462295.74	644303.81	516271.15	496280.31	807623.61	869577.07	633371.43	1407991.4	458975.36	751035.82	6497275.3	815617.42	348292.38	812118.31	939097.21	997577.54	797309.15	996078.85	487621.16	1450309.4	1198699	977008.72	867399.66	545245.02	1435431.6	767009.53	684014.89	633488.47	451909.23	280632	1104084.8	486675.3	659278.15	450126.94	948055.46	695922.15	464465.93	662472.4	1054275.1	326167.23	404254.48	461746.39
CoenzymeA	2397564.7	843045.98	997822.79	2149964.2	919965.47	5122248.8	924642.96	8320961.6	6607011.3	3143785.3	1566727.2	2720843.7	5887240.5	3434500.7	4745433.5	3249032	1932892.7	1969083.1	3464633.6	2471450.9	2675108.2	480115.14	927453.33	2288511.4	5289792.4	2967593.3	1913294.4	4969014.6	1050853.5	10668164	2625543.2	563854.17	3703464.6	755412.78	7105198.8	6172886.7	3482691.5	3770279.8	717628.03	1619100.8	1976665.2	4978552.9	4582941.6	1722755.3	4745986.8	102553.27	2674045.5	3167650.2	1900288.2	1405198.7	4570553.4	1057215.5	2402058.7	990865.05	587023.3	1126132.8	1442316.5	1503844.3	2395306.7	1752903.1	2434584.4	6247673.1	6438102.5	3181438.3	1349417.6	1020328.5	121697.45	2636800.7	3811068.3	115510.35	832885.52	2219384.5	3606234.9	1709744.7	1479762.8
Creatine	9.0616497e+09	6.2716567e+09	1.0875106e+10	1.1521157e+10	9.0062605e+09	1.3910764e+10	4.915051e+09	1.4283303e+10	1.3721135e+10	1.2199976e+10	5.694098e+09	1.6999041e+10	1.3344032e+10	1.3665954e+10	1.7127039e+10	1.1286729e+10	1.2318947e+10	1.2093448e+10	1.213784e+10	9.7966436e+09	7.021092e+09	1.1854888e+10	9.5943008e+09	1.0297793e+10	1.4135644e+10	8.276712e+09	1.305329e+10	1.4371962e+10	7.564953e+09	1.462515e+10	2.1052944e+10	6.2993125e+09	1.589684e+10	1.0658348e+10	1.9098972e+10	1.8836511e+10	2.0948523e+10	1.0659151e+10	7.7512475e+09	4.8478651e+09	6.7213244e+09	1.0004761e+10	1.4932027e+10	2.7049161e+10	1.2623611e+10	7.923836e+09	9.1810439e+09	1.0213763e+10	1.1775136e+10	8.0358214e+09	1.4922903e+10	1.018385e+10	2.250492e+10	2.9248932e+10	1.4997325e+10	1.9955708e+10	2.3883428e+10	2.4028267e+10	2.9331024e+10	1.6143236e+10	2.5281807e+10	4.9313542e+09	2.4766268e+10	2.5136764e+10	4.4681866e+10	1.861462e+10	1.6705919e+10	2.23415e+10	1.7889913e+10	2.6906686e+10	1.6593708e+10	1.7019772e+10	2.2836064e+10	2.8204471e+10	1.6609143e+10
Creatinine	3.8166585e+08	1.4948772e+09	3.2789262e+08	2.5898624e+08	4.9594057e+08	4.5610653e+08	1.5440616e+08	66363498	3.2845109e+08	5.7390465e+08	2.8540405e+09	1.4811935e+08	2.7177454e+08	4.2637371e+08	1.9606814e+08	3.1196981e+08	5.5902273e+08	9.6556475e+08	5.694973e+08	1.0974652e+08	1.0770169e+08	62641023	1.7371778e+08	61950004	3.2000498e+08	68924511	1.2025163e+08	1.2914023e+08	57112842	1.9867367e+08	59231951	5.8341966e+08	96199943	1.5896594e+08	4.7456307e+08	2.2262639e+08	1.2318442e+08	99608973	58332281	75874899	54823213	2.5621309e+08	9.7508767e+08	1.7288067e+09	22418486	65311179	65606191	1.1378948e+08	1.1131825e+08	62707949	71924237	2.7320515e+08	1.0332706e+08	1.0660926e+08	73219822	57668059	1.4745094e+08	66812049	81171960	44206559	1.9150955e+08	1.1189105e+08	1.4964028e+08	17483772	73683567	62802224	77580711	3.1066137e+08	28275756	4.2691247e+08	78559445	3.6254696e+08	1.3997337e+08	75447612	1.6432117e+08
Cystathionine	5492.1455	27543.508	103031.53	4735.541	3099.0909	4583.4491	4412.7013	9343.6176	49939.103	71082.099	64740.96	7082.5987	33267.167	27962.274	3882.3042	4044.9007	3953.3151	65939.905	4133.5937	6153.6935	2946.1152	5187.7763	130432.11	5242.3353	40703.604	5860.2764	7304.6977	281346.34	2763198.7	7934.3377	45060.467	382474.3	37873.191	6361.9043	209934.74	10100.247	46694.337	6965.0398	31066.89	43177.796	4042.8422	44267.182	2143495	856427.33	56023.72	231719.67	72939.855	5668.902	156354.75	5748.0617	407403.96	870874.53	902172.82	108984.21	342894.4	1114398.9	299856.06	210248.76	501341.55	46233.31	347811.47	13251.537	12713.689	214003.31	811591.48	485485.38	2284047.1	662350.32	775043.03	5359358.4	42089.107	1274527.8	141199.13	466824.02	280310.64
Cysteate	586477.02	655639.11	625098.75	1004788.9	489084.54	1481636.6	610667.27	962007.42	749886.55	511310.89	552527.34	739529.04	645609.55	284281.76	406965.19	473591.61	458896.41	832861.83	775832.43	535881.58	195468.82	623992.6	992940.41	840246.11	1126166.8	833190.2	1080495.6	1098320.8	581102.84	845845.77	1095906.3	1007788.1	1213001.7	1373877.4	961842.84	885079.43	879291.25	1051386.9	752549.67	795162.07	1165508.8	1487607	1591944.4	1861950.5	768108.01	521440.71	2192872.9	1177489.2	1226906.1	1411596.1	440272.99	979554.99	1343737.5	926020.03	764279.92	1086518.4	1472648	1486013.7	1320868	2045985.8	1988556.2	1242403	2316032.1	920601.96	899146.86	763353.03	940375.68	5031293.9	942912.37	2339747.9	995762.3	2121420.1	1085315.6	1090501.7	729188.26
Cystine	113993.81	8207000.3	4608.3256	109357.08	3249.0448	150994.62	35061.221	1576186.4	145067.85	3852.032	12651596	159006.13	102461.51	4208.2412	4070.1549	4240.6189	4144.6018	4728.8674	595464.26	6451.4485	3088.6671	36463.426	6052.5352	107814.47	7561.752	6143.834	154469.95	422447.79	4853.2417	1162580.2	425595.33	5289.5645	970935.02	52711.909	265698.07	52944.809	124219.82	7302.053	5068.8981	285700.72	4238.4607	1256231.3	71990.876	6084.2601	839374.22	5808.6704	682019.43	492613.17	5432.9194	483633.21	295682.1	112901.16	7590.3726	8879.1787	6183.2039	37970.609	120045.8	7524.1029	41083.609	430208.68	7308.4945	200127.09	383688.45	341853.86	592406.49	40385.149	51897.685	43171.563	4868.3519	6542.5663	330455.47	2008812.8	6561.0472	7332.2341	624580.38
Cytidine	185184.73	187297.25	57019.559	25495.553	2563.8155	579713.68	3650.5389	7729.7866	68474.477	67724.324	102900.76	5859.2913	85574.402	105995.09	418691.52	174812.51	88152.036	89063.178	44754.296	5090.8267	177280.28	28473.985	120893.29	89352.103	5966.9652	65909.362	38867.705	6195.1359	93023.189	39896.573	5654.0632	4173.986	6266.3454	5263.0753	5610.3396	8355.7306	6111.0439	28810.188	21659.014	5900.5799	141672.14	7147.4867	7237.4777	4801.079	7026.527	4583.6116	8445.8176	67505.879	25482.427	4755.2557	96503.397	4553.3918	76490.136	41323.908	29694.36	408865.2	88345.243	32958.772	40944.685	3774.8473	5767.1202	10962.729	10517.779	6851.1739	8639.3053	36862.97	5439.2593	45743.008	50245.787	41968.012	76853.244	153093.2	5177.3108	36208.559	4123.8925
Cytidine cyclic phosphate	808153.08	2705.5285	755844.85	3980.6133	170537.67	3852.7675	118224.56	7854.0822	79236.454	582673.78	131785.52	103676.57	265743.27	340396.26	65651.715	3400.0731	1561751	131154.83	49648.016	447246.75	2109062.4	301887.37	4361568.2	29935.87	461967.79	37119.316	206414.94	6294.7542	184270.15	6669.4661	5744.981	129036.16	6367.1087	136504.75	34455.841	8490.0914	35301.454	32663.372	4064.1766	5995.4617	92628.591	43865.481	7353.8569	4878.2807	7139.5141	4657.3164	8581.627	4765.1803	4356.0442	4831.7206	46594.553	4626.6107	6085.8621	7119.2101	76391.067	30753.5	38473.911	6032.7279	39217.034	29180.935	29299.278	11139.011	10686.906	6961.3413	8778.226	5518.7677	5526.723	173926.41	3903.3813	35498.513	106333.66	4856.2605	63035.383	5878.89	792999.1
Cytidine diphosphate	10169669	1390514.6	1350052.3	1018493.2	1920497.6	1256065.7	2808698.5	601978.17	980892.47	1196602.9	1576164.3	1535541.8	915607.33	2402066.3	1715532.3	1416768.3	2340493.6	600830.2	780515.67	1961557.3	3479184.5	1244397.6	2847368.3	1044976.6	609136.17	1292830.3	1729596.6	1142146.1	2241329.7	675153.96	811844.05	594845.89	480738.29	600076.55	427099.51	1417881.3	1193843.4	1052431.8	2847750.5	1948668.7	1509964.6	696448.55	904903.14	797482.4	502996.45	1524434.9	675631.37	689370.29	624891.76	342646.89	3911099.4	958642.83	1543063.9	1149990.5	2233244.8	1453081.9	869678.8	1436245.6	1636963.8	797954.25	396051.07	119291.7	1292249	1448420	2289440.8	649528.17	1211514.9	1110067.3	1244201.6	1926567.4	815456.77	1752650.3	1188013.7	1859038.9	3371999.5
Cytidine monophosphate	11256970	2139474.7	2871950.3	3749310.7	1786702.2	3955923	3252764.5	2782172.9	3260615.9	2608759	2440662.9	3121252.8	3171982.5	2166234	2718793.9	2791704.4	3326698.8	1598508.3	2051312.5	1452873.6	4390695	1734766.8	5624269.2	3249980	2593894.7	1869352.6	1871061.1	3065109.8	1547651.5	3360585.3	2327278.9	981958.91	3047290.4	1898725.7	2718348.6	3355390.9	3026773.1	2643985.8	2003280.3	1356118.3	2098742.6	2351758.9	3228333.8	412472.42	2831129	1558175.6	3270765.5	2857910.3	1877061.8	2781734.4	1344090.9	1336547.4	3774067.7	3087159.4	1722966.2	3906308.4	4503462.1	1771208.3	3120183.1	2391214.1	2675632.8	690329.7	2940347.5	3235892.8	3857759.2	3516981	2730363.6	3859705.6	4037946.8	3097470.7	2706694.6	1848977.3	2377690.7	3958391.8	7119449.3
Cytidine triphosphate	8243123.5	10024527	6846497.5	5394276.2	8962319.4	7309476.3	5602874.2	5959798.8	8246839	7518614.7	18236261	8353147.2	4592096	14538473	15736668	9711068.2	10730098	5054258.6	5647442.7	8259862.6	21017011	8465376.2	7234477.6	6763941.4	2828410.2	7657765.5	4377864.2	5848986.4	13558212	4519640.8	7293107.4	3214108.3	1821159.9	2302598.1	2192231.5	7726760	8703082.6	6471102.9	9639390.4	7155156.6	6880829.8	2849435.1	5789247.9	3668486.8	4077398	7711494.3	4245558.3	2590103.2	3658131.7	2641961.3	19017258	3562705.3	8977576.8	7768998.8	7246455.3	9351133.4	8775619.8	7602408.5	9429580.9	6100480.1	1920876.5	404911.69	1942387.1	9385233.1	9523614.4	3647449.5	9313905.1	4885127.8	5217305.8	8889055.8	5856405.2	4970639	2223808.1	6776161.6	1556648.4
Decanoate	6218570.1	1323736.9	37618.971	40527.959	1927980.5	4489791.5	1725883.6	2250319.6	1900287.4	2746387.6	1134778.7	8422625.5	33165.715	34352.977	2944513.6	7464665.4	1788689.5	38602.985	35376.341	52664.867	1504638.1	2020702	3103606.4	4869622.2	1737407.9	7888441.1	7301165.7	10334360	1896889.1	67904.071	528133.32	430791.61	64825.669	4269423	8306073.4	1426215.8	3624354.4	59608.574	6345746.1	61041.806	1979737	73941.121	542121.48	3349717.9	9096504.3	3286003.8	87372.422	48515.898	2149805.1	49193.367	58949.758	47105.075	61962.203	72483.065	50475.116	212281.96	8139670.3	7611981	58698.631	39050.992	4178560.8	113410.01	19614786	70875.75	89374.062	56188.424	4606090.7	2521424.6	39741.633	2942353	62801.324	49443.217	2381963.3	3209071.6	2273149.2
Deoxycytidine monophosphate	328706.3	865773.08	722666.59	1018920.8	1391515.7	2062551.3	636693.08	437499.29	474894.61	1398508	1340936.2	663443.59	1537093.9	1909826.8	756699.83	922042.36	1387349.3	1772920.1	2167837.6	765158.95	1201765.5	905892.11	682558.7	616660.25	576280.44	652188.27	783600.51	278029.48	837789.42	270509.01	494943.13	908278.56	431217.9	1955160.1	1359306.9	437307.44	340964.89	580429.41	735084.37	836496.08	1000794.8	1898812.2	964509.66	5906947	282460.09	717136.69	532857.22	1173535.7	909640.52	249684.26	497477.79	536872.3	400987.35	345225.18	794060.05	375097.64	382517.61	388519.69	421504.09	397199.69	193722.52	113924.93	651075.47	626580.17	17955.971	190356.6	406151.4	249031.86	161664.86	324521.06	356692.95	1972756.8	322607.2	92416.721	176837.55
Deoxyguanosine diphosphate	37546853	64619155	53080434	46823893	70233463	67309197	37856922	60487377	61333429	74431881	1.1212758e+08	63428604	44554616	97210096	1.0824474e+08	66325426	84447087	55229730	55754857	58584843	1.426091e+08	73666862	38749651	46677452	44746855	75424887	28711564	45034522	77452795	43606614	70540430	33537141	36716692	30465779	33388763	65180322	57667945	71263835	59233550	48678822	61333888	24336662	35573667	96705220	41752319	70808236	50122768	25274777	34247603	45478285	71090799	29060005	73377573	68517950	53609742	85093594	46171044	57981439	67675428	26776133	16206820	2655328.2	19776869	70326047	60306288	23808297	49125400	26999013	25997414	73537124	34696273	35133022	14627247	35464615	8583443.1
Deoxypentose monophosphates	85051.391	470157.66	866045.41	438600.91	355619.12	1104015.3	188654.44	959386.48	488450.1	688594.6	676378.12	593238.7	590722.68	454987.63	514183.19	737781.14	359292.56	363415.06	552124.17	402489.63	2376480.6	1369313.6	337367.12	2468062.7	781881.69	878466.38	518091.34	1784078.8	3085100.2	600920.09	1006186.1	2509084.5	1278551.7	1358997.3	1933812.5	413267.91	1441201.6	1320492.1	970101.35	482029.32	1315898.9	2014939.6	1109286.2	773970.4	2297177.5	1310066.6	1189557.7	1914734.3	1268007.1	1319282.1	2067185.4	1129813.3	1828901.9	1232344	1679192.9	681913.81	9388152.9	1728871.4	1037892.8	1407033.2	1531036.6	852413.17	146373.52	1514665.7	1142931.1	1869608.6	1478462.8	3439810.2	889597.53	2621430.9	2469823	1749395.2	820462.92	1513264.4	1417645.8
Deoxyribose	865160.79	572340.68	987553.27	408754.68	1266371.8	531075	558369.11	1368422.6	195850.44	1246284.6	1166241.3	1048288.3	955743.34	974816.55	1331776.7	1119619.9	302039.7	812948.63	1201544.1	924233.44	8076989.9	1220455.1	1859074.1	2099144.9	1554584.9	1465115.4	1678732.4	2647972.4	860002.03	1771309.1	2090426	1149940.6	1328164.9	969352.98	2061506.8	1556471.9	1782285.2	3018076.4	1230183.6	1508937.6	1888411.2	14770.819	1946834.6	1984.3578	1091610.6	1800255.5	264395.9	1941009.4	1602144.2	1137318.1	2355.2146	1596908.9	1345218.4	1830674	1444205.4	2153680.4	1053566.5	1116973.3	1360636.6	623492.52	1232121	4531.0601	989838.52	2831.6927	2163516.1	2378162.5	946996.52	592765.05	1097662.6	2333343.7	1427900.6	1371844.2	912812.62	2808100.3	998875.83
Dihydrouracil	2786040.2	514604.88	1234706.9	1708025.6	1792649	1886417.1	533723.56	2605125.2	1648279.1	1712032.1	865713.28	2074691	1987121.2	3112270.1	2831882.9	1674922.9	2480446	1253192.6	2217574.4	1341399.6	1119761.8	2755349.2	1518271.8	1525294.6	1056500.4	1507428.8	3136228.8	1731567.4	1615333	1642956	2413213.4	1119011.5	2551341.8	1878282.4	2466454.9	2856286.4	2629785.1	1576982.4	858562.75	1017683.1	414928.42	1918896.5	1864079.3	4559010.7	1639156.5	1632041.3	1137837.7	1237516.7	2535185.3	388266.85	2258638.4	926589.55	2518141.4	4782794.1	2633009.8	3656143.8	2719135.2	3800087.4	3963390.2	2577671.9	2932247.6	1048801	3305945.4	4466035.1	6385413.9	4065567.8	2742273	4857435.6	3418449.7	4528973.5	3140403.8	3831951.2	4275849.7	4068567.8	2784782.3
Dihydroxyacetone phosphate	6807193.6	13670392	3974044.5	16335708	1316611.3	4113363.2	6332694.2	7124311.7	684471.33	717391.79	2502709.6	2827141.5	2098039.2	1345529.7	7766714.2	13230549	2713460.5	2497981.7	3011568.3	2751522.6	2754404	1837870.7	4832362.1	6731083.9	1486053.7	462470.25	2068335.4	2023714.2	1079004.3	3954890.5	2771973.2	2599286	634343.7	3341654.1	1853735.6	1265230.3	9193138.5	2773207.7	2247837.8	4052130.3	1774425	3531713.2	4683887.6	1069473.6	14100312	2071325.3	3142836	7632753.7	3865933.3	1467556.8	2139323.3	1750244.5	1684162.1	4031403.9	576235.04	2689224.5	7115617.5	1917003.1	1318087.6	41328434	9993208	2779259.3	1107523.9	2263467.6	2951273.7	24342840	4528371.5	3520710.8	4989436.2	2357441	8835630	1402738.3	3913704.6	10543017	2271380.1
dimethylglycine	16303440	15736858	26864460	44653104	35716306	40817920	16951788	1.9578733e+08	2.1643658e+08	23738787	21307490	77915071	22330912	13317452	46776416	29665074	36586898	31505330	27428349	62323544	4064106.7	28988084	86696724	18308091	1.1965007e+08	65491715	2.1684003e+08	2.3537437e+08	32333955	1.662571e+08	2.1481717e+08	64314617	1.5871991e+08	38881540	1.6578797e+08	2.9982593e+08	87712230	1.5810851e+08	21950975	1.0461882e+08	38827351	1.1918354e+08	96241774	39522034	2.0763692e+08	1.4512255e+08	67742486	96019396	3.9815562e+08	54200522	61341637	1.0572155e+08	2.5284828e+08	2.0704643e+08	83419100	1.299384e+08	84135127	77698624	1.0299819e+08	1.1154838e+08	3.1649597e+08	3.0081389e+08	1.7316276e+08	3.0368275e+08	60176732	1.2610802e+08	82662416	2.9532167e+08	1.1352118e+08	1.8525245e+08	1.0122762e+08	52458180	1.0053746e+08	85487235	28724806
Diphthamide	8394494.1	161256.26	5979863.7	10186778	5517106.9	12133136	4992163.5	8537822	9102699.7	6103274	3408710.6	6942507.8	9095796.3	5735860.6	194506.64	6920738.7	3936992.2	5397018.4	7776154.5	6105082	4511152.7	5549372.6	3407524.7	7010851.9	7540283.8	4600465.3	6563105.7	6898405.9	3678416.4	8949520.6	7376341.5	3459002.3	8841627	6029667.8	9398955.9	8655711.2	6660480.4	6320676.8	2817102	4714588.8	5253088.8	10059744	13616068	7040252.9	7221911.1	5215696.7	13230549	13024971	6739575.2	7888516.3	3699880	8002308.8	8455595.7	9323638.7	7338498.6	8375855.2	8264746.2	12316969	6380753.6	6441224.5	10071578	3319564.6	8224876.1	4540867.8	9227994.2	7167087.5	6786079.3	7233614.2	6724776.6	12359002	6886801.4	12043580	15031625	11187836	6883220
dTDP-glucose	285819.72	167451.16	250330.5	217356.67	174189.49	436450.18	120428.65	143883.46	150879.43	240008.51	259170.3	181387.73	417546.74	419941.97	480701.07	180467.75	283897.89	79606.195	182341.52	199892.87	270758.75	58523.043	5473.8679	348764.45	161413	243103.59	88554.841	107845.27	72994.626	245833.63	196168.2	4783.8428	289951.9	239799.57	183226.71	212045.14	265459.07	386528	61746.966	114180.07	318362.89	124142.45	140468.7	5502.5596	215162.01	124177.62	215771.17	253146.66	295121.59	244779.42	56672.299	139830.72	344687.65	269703.03	142069.13	430683.93	240134.43	208567.43	309368.39	21631.93	92502.168	12564.482	127343.41	261211.74	235906	275501.39	87808.038	118427.97	268441.79	166928.73	177839.76	219751.61	135441.14	219319.93	208312.69
