metabolite	PMN_74	PMN_75	PMN_76	PMN_77	PMN_78	PMN_79	PMN_80	PMN_81	PMN_82	PMN_83	PMN_84	PMN_85	PMN_86	PMN_87	PMN_88	PMN_89	PMN_90	PMN_91	PMN_92	PMN_02	PMN_03	PMN_04	PMN_05	PMN_06	PMN_07	PMN_08	PMN_10	PMN_12	PMN_13	PMN_14	PMN_15	PMN_16	PMN_19	PMN_21	PMN_22	PMN_25	PMN_27	PMN_28	PMN_29	PMN_32	PMN_34	PMN_35	PMN_36	PMN_38	PMN_40	PMN_41	PMN_42	PMN_43	PMN_46	PMN_48	PMN_49	PMN_50	PMN_51	PMN_52	PMN_53	PMN_54	PMN_55	PMN_56	PMN_57	PMN_58	PMN_59	PMN_60	PMN_61	PMN_62	PMN_63	PMN_64	PMN_65	PMN_66	PMN_67	PMN_68	PMN_69	PMN_70	PMN_71	PMN_72	PMN_73
ADP-ribose	3806317.6	85997.311	1629472	404968.94	639722.29	332117.85	4321865.5	523435.1	456678	809583.95	31889.347	828649.39	560341.16	877273.92	652754.77	1086787.4	963348.68	299447.7	596491.75	1037926.4	479796.76	1503846.4	1681487	1094552.2	773655.95	591563.46	1636744.8	1031142.5	873992.61	485721.29	693541.56	954519.62	276736.64	819254.36	597266.69	1113926.2	1149561	211028.39	1810824.1	1065714.7	456341.36	921813.46	1879650.8	791944.72	963454.52	698527.33	136799.02	918626.85	533431.32	479772.49	1595494.5	1411172.1	530562.19	463405.81	1361862.1	560075.69	2332396.4	1161690.1	1511147.7	1957501.1	912203.93	590952.56	564816.59	883760.35	1723053.6	1731234.1	1553898.7	1445467.5	1399396.9	866218.56	1927051.3	1720594.3	1514239.9	3301890.1	4673868.6
AICAR	2340.4815	1371.6235	1873.2035	24845.518	15153.782	17566.894	78671.418	24877.539	18941.661	1565.7834	17669.396	28297.667	17924.937	1710.5762	1654.4466	24894.783	1684.7079	1922.2016	1761.5337	23456.447	1255.489	18952.484	91385.247	30693.716	90320.378	32495.719	100935.49	132833.93	70277.595	61829.212	57613.34	84219.793	232241	65420.129	232898.55	4304.2269	22395.849	277279.89	79390.244	3039.523	22448.187	3681.833	503938.28	361058.88	222671.56	2361.1226	37321.671	260655.37	2208.3864	2449.5404	67121.142	546231.1	17692.129	3609.2304	213016.49	2114.0788	83800.391	355379.17	14614.233	1944.5097	17421.366	5647.1514	5417.9474	3529.1956	4450.3027	23237.264	17990.25	1006894.6	25594.691	2659.4384	131676.55	2461.9814	21103.429	18706.178	2124.3108
Ala-Leu	26538597	1401719	1143822	1276596.8	1877829.2	819182.04	8725966.5	1659900.7	1059259.3	1120660.5	1373886.8	1441255.1	1753689.1	2021551.6	1257616.6	1331847.8	1531079	693831.65	699584.29	2408400.6	8263483.9	2561862.3	3210079.5	2101567.6	1904564.6	2729982.5	3154621.4	1832483.7	1127458	1979212.3	1569927.6	2235205	1432521.8	1477329.8	1729545	1262031	1671229.4	1499046.1	1667476.4	1772542	1736243.7	1100583.6	952458.09	1648379.4	963822.87	2127135.2	664923.16	1996575.5	844838.08	1000833.8	1585299.6	1374799.8	1132934.3	956087.16	1622175.9	1564806.9	1931744.3	1677880.1	1336721.6	1178829.2	1272285.9	1614863.4	1312756.6	917296.88	1843812.3	947889.76	859460.77	713686.59	1466624.1	1283576.5	780226.65	1098751.5	1000924.2	1712450.9	6589759.5
Alanine	3.2800544e+08	2.3524166e+08	2.9186102e+08	2.7550659e+08	2.0665332e+08	2.7143841e+08	1.9100819e+08	4.2319843e+08	2.971094e+08	2.5923538e+08	2.4747053e+08	4.5587704e+08	3.169918e+08	3.3118296e+08	3.4370301e+08	2.9312926e+08	2.4095711e+08	2.5539662e+08	2.0121338e+08	1.3966726e+08	1.2400011e+08	2.2011097e+08	1.210112e+08	5.5457278e+08	3.4928869e+08	1.2953728e+08	2.0536904e+08	2.8298163e+08	91654528	3.7347503e+08	3.2774306e+08	1.1087737e+08	3.1720799e+08	1.6172096e+08	2.9626661e+08	3.3057303e+08	3.5099256e+08	4.4429637e+08	1.5044245e+08	1.9006995e+08	2.2334319e+08	2.0597713e+08	3.630275e+08	4.4351583e+08	2.9724885e+08	1.3337472e+08	3.6365666e+08	3.5291334e+08	2.354895e+08	2.7411033e+08	1.9521157e+08	1.7916465e+08	4.651134e+08	5.2629647e+08	3.1312155e+08	4.6090597e+08	10037175	2.9569547e+08	4.2317927e+08	2.4184857e+08	10165460	96617707	5.0066797e+08	3.8777487e+08	7.2582695e+08	4.0778253e+08	2.3042676e+08	6.2509199e+08	2.6830056e+08	9100122.4	4.0826483e+08	2.4699001e+08	2.6385202e+08	3.6651855e+08	3.6976866e+08
Ala-Tyr	8693574.1	280205.21	58841.523	343762.88	762324.76	57329.072	3581052.6	9249.0898	138669.52	200443	3552.6222	365204.22	318664.03	577495.2	171028.18	346660.61	633233.14	108334.46	52343.172	650268.98	7609286.3	1302191.7	6844975.3	536722.84	259731.32	418638.8	1188762.9	7412.8008	237274.41	271798.35	69535.51	570362.67	7498.0066	375812.01	64363.215	9998.0641	363223.67	271447.28	845073.29	686197.29	531681.24	537706.07	62704.408	5744.7395	8407.6032	733060.07	146223.19	1020731.9	95036.351	59437.94	190858.68	68863.529	7166.8062	8383.6929	99847.961	389594.39	200583.31	117993.93	6789.3279	156318.95	213399.11	519587.26	62925.336	8197.7842	110275.98	6498.987	59635.733	42371.536	4596.6827	107054.97	7263.8624	201522.32	50424.909	419669.04	2972477.1
Allantoin	911198.46	2860518.8	1592929.9	1354470.3	997714.31	2317641	371178.9	564391.88	532766.64	1362288.7	4112060	762956.23	834240.63	1505319.1	1025561	905873.69	1405641.5	1313647.2	338764.67	36652.556	772641.72	1195834.9	2470391.9	2200758.5	549785.99	272553.28	1586388.2	91925.561	233205.74	287615.47	158568.51	1183096.9	307362.36	271681.5	1005795.1	49820.258	5455.3589	282939.94	51315.957	167035.01	318035.43	336545.57	1224244.7	10739553	38549.289	2184415.1	114832.75	1734845.5	285779.14	4245.0401	42000.502	2718397.6	5346.9004	565372.52	38219.839	1290869.2	557917.28	148133.07	87186.044	20790.367	259583.4	98222.246	54673.478	6116.0766	7712.3502	79955.923	4855.6535	848317.44	3429.4222	1470299.9	27096.555	617410.77	101848.1	106989.5	49547.248
alpha-Ketoglutarate	52110356	31590355	1.0493092e+08	43013515	98973884	52923096	22968821	1.1390843e+08	48768306	1.1011532e+08	43689617	81494256	92316413	1.4586741e+08	1.6526196e+08	1.4529101e+08	94555996	45737299	70351470	80447619	1.1044167e+08	70731294	78731924	2.2727123e+08	53348582	36613531	72164794	68532829	80965815	1.1678702e+08	71449951	50938284	34998583	48814262	78655818	83652114	1.4041614e+08	63522667	77475317	49586204	1.0958795e+08	84979857	83139147	55978121	1.1097987e+08	48161986	35321453	79506798	44361656	52986408	77342994	40514319	63745873	1.2129673e+08	44776120	1.6045997e+08	86643266	69991456	81931708	2.0732965e+08	87928243	29314980	72260956	67312891	93653009	1.7630863e+08	75461155	46599010	1.5784799e+08	63609225	1.5903595e+08	85681910	1.1379574e+08	1.4470638e+08	65952811
Aminoadipate	3934409.4	3904414.6	5586442.9	2630767.4	4570388.5	5851792.3	4433131.3	2479132.6	7655221.6	3833553	5169485.3	6527780.3	3681146	3741531.8	4667900.6	4386621.2	3348448.8	4762315.8	2378995	2618797.7	5876295	3730866.9	4091261.8	6866837.8	4142971.7	4369614.4	2269406.9	6329405.2	3680221.6	6025480.3	4139908.8	2180716.6	4381002.8	2218110.8	4852611.6	4807694.6	50129467	4216744.2	4088760	5155203.2	3394271.5	2161384.4	4859985	5579330.6	7160540.3	2377168.3	7917707.8	4687497.6	2853369.6	3891969.9	8148360.9	2557375.6	7114557.7	10851432	2863927	2966060.6	10315159	5854927.1	2749048	3559696	8007152	4525365.5	6122189.2	12900521	7546623.5	4994297.1	5873946.5	5254687	9606360.3	5639597.9	5147206.9	6315904.3	4332126.3	3281090.5	4847756.7
Aminoisobutanoate	49874728	40696019	53364293	63069012	55991757	1.9921454e+08	33134063	1.0680633e+08	57917102	72005903	65223969	71147692	49058027	62326596	37237107	49419936	41851055	53813779	74013877	47192447	26346341	47796926	1.5222838e+08	75853200	65212114	86482337	65623982	1.003923e+08	1.6716814e+08	59879978	1.0662282e+08	1.8607487e+08	1.3324896e+08	78691455	70935763	1.5690785e+08	86777667	71695995	71906914	88953836	71202286	87474217	1.1228041e+08	68481679	1.0618141e+08	86529907	1.229666e+08	94296917	47455043	97622230	53785922	1.6813912e+08	1.7469603e+08	1.2272335e+08	97220082	1.1529148e+08	1.8598342e+08	98813123	1.3330031e+08	1.1382539e+08	1.9960609e+08	1.0799275e+08	1.2129785e+08	52265652	1.6711392e+08	1.0843286e+08	1.5925015e+08	1.019283e+08	59746753	1.1687647e+09	1.6201964e+08	97806287	88160140	1.4995448e+08	61349183
Anserine	5616.9675	347211.19	774015.17	4843.1674	2575338.7	2510296.8	32176.107	9555.9734	1437202	1706755.9	264357.2	922534.99	603375.02	742595.7	998993.87	2774155.5	516972.21	1132376.6	1888498.2	593149.99	1342547	480034.5	697237.16	590007.52	695838.35	5993.465	557967	7658.7565	113063.21	521437.34	280653.78	5160.1035	7746.7895	78075.279	974280.57	51648.997	82114.481	179019.67	35255.041	55283.148	159855.7	50676.318	187196.88	99383.35	8686.5664	1074508.4	10441.169	59552.883	626826.38	5878.7	7044.6071	5629.1451	7404.5999	8661.8627	6031.8714	5073.6191	7039.6474	94407.446	7014.5969	4666.667	7129.6207	13552.709	126555.38	8469.7856	10680.369	6714.6225	6724.3017	6177.4449	4749.2	41887.698	7504.8764	5908.5575	6400.467	7152.7792	5098.1753
