ensembl_id,gene_symbol,base_mean,log2_fold_change,lfc_se,stat,pvalue,padj
ENSG00000000003,TSPAN6,708.6021696912338,-0.3812539825230529,0.1006544118658218,-3.787752324570595,0.0001520162730449468,0.0012836296817116
ENSG00000000419,DPM1,520.2979005520842,0.2068126010850495,0.1122186465072591,1.8429432854696857,0.0653372915097717,0.1965460856562931
ENSG00000000457,SCYL3,237.16303679601535,0.0379204312050823,0.1434446549340817,0.2643558327252296,0.7915057416083435,0.9114594795948956
ENSG00000000460,FIRRM,57.932633125096665,-0.0881681758701342,0.2871418229377711,-0.307054454722334,0.7588019239829293,0.8950327849754155
ENSG00000000971,CFH,5817.3528676523065,0.4264021269805678,0.0883133903678381,4.828283969220756,1.3771462118840476e-06,1.821510778271872e-05
ENSG00000001036,FUCA2,1282.106385465916,-0.2410712239612339,0.0887206392415317,-2.717194398306185,0.0065837924924239,0.0327789591420655
ENSG00000001084,GCLC,609.8920919069686,-0.0476168958227946,0.166653902673477,-0.285723256754988,0.7750900906251674,0.902913936450924
ENSG00000001167,NFYA,369.34280784523907,-0.5003641787664345,0.1208798893224243,-4.139350073623968,3.482911288851564e-05,0.00034236600171982554
ENSG00000001460,STPG1,183.2376742492713,-0.1238993001430416,0.1799012108809464,-0.6887074274615902,0.4910074011610352,0.7236449219743564
ENSG00000001461,NIPAL3,2813.851221984222,-0.0410662668159548,0.1025624029903764,-0.4004027364667749,0.6888599090487125,0.8565076032840422
ENSG00000001497,LAS1L,539.8235458670998,-0.0040489818878692,0.106712162380883,-0.0379430216531214,0.9697331114101302,0.9883161623086404
ENSG00000001561,ENPP4,114.03778409507952,0.2249439564218948,0.2165776846179337,1.0386294267515144,0.2989771146166245,0.5488902034427033
ENSG00000001617,SEMA3F,598.6681427412941,-0.2502374710173622,0.1082809706038457,-2.311001366370044,0.0208327794221984,0.0821464014486864
ENSG00000001626,CFTR,5.764987937173603,-1.0872392459509952,0.7921152892968865,-1.3725770233725354,0.1698838788655752,0.3863588454886578
ENSG00000001629,ANKIB1,1779.8287193589304,-0.2266735750804397,0.0806196272603171,-2.8116425588091714,0.0049289243346782,0.025854744292747
ENSG00000001630,CYP51A1,54.72772888616495,0.012611078375563,0.3125328502283134,0.0403512090532253,0.967813128075452,0.9873267706372478
ENSG00000001631,KRIT1,785.4532507746289,-0.0366893134718057,0.1032322158117951,-0.3554056568803561,0.7222857115638329,0.8759748945894908
ENSG00000002016,RAD52,183.8604225392566,-0.3105326445268359,0.1599441925844042,-1.941506218570359,0.0521969058815809,0.1663436130869967
ENSG00000002330,BAD,178.05671427404172,0.0889955371801288,0.1550773343661109,0.5738784300355955,0.56605007036477,0.7782981208479841
ENSG00000002549,LAP3,1253.630836323831,0.1866573610403889,0.1058121667531652,1.7640444078214224,0.0777245029004339,0.2220588917593068
ENSG00000002586,CD99,8285.421190898865,0.0897506640456499,0.0804356698596505,1.1158067583977698,0.2645048602555703,0.5104695985777091
ENSG00000002745,WNT16,6.899826163666386,-0.2694942277132862,0.777539077357309,-0.3465989498936055,0.7288926349306555,0.8791380492760994
ENSG00000002746,HECW1,108.44235916060676,0.102439637594918,0.1990168816816471,0.5147283824835689,0.6067428371019108,0.8067231998873994
ENSG00000002822,MAD1L1,349.8077408784709,-0.160215989367539,0.1324631249979911,-1.20951388826112,0.2264654786965257,0.4626311218063417
ENSG00000002834,LASP1,7168.8257540356435,0.3966425269029567,0.0929191771205929,4.268683163091119,1.9663033038013305e-05,0.0002070590885568364
ENSG00000002919,SNX11,250.5082487337118,0.4043897755576855,0.1401723066007643,2.8849477144544635,0.0039147867317011,0.0212641684842145
ENSG00000002933,TMEM176A,540.2695597616619,0.3610362702741169,0.146415202111731,2.465838690702391,0.0136692877370467,0.0588288588589697
ENSG00000003056,M6PR,1065.2702998847783,-0.0725649506728584,0.092169231275408,-0.7873012465084942,0.4311055401713237,0.6749457511870616
ENSG00000003096,KLHL13,377.97730097333374,-0.94097894213766,0.1438007815141037,-6.5436288470057455,6.004370587842111e-11,1.5139411602463994e-09
ENSG00000003137,CYP26B1,104.51632005898524,-0.8965864084647281,0.2925924026650652,-3.0642846509280814,0.0021819119687558,0.0129977034177218
ENSG00000003249,DBNDD1,116.3500672304146,-0.2801624155031817,0.1946185562177299,-1.4395462639736645,0.1499958119758984,0.3565094921953194
ENSG00000003393,ALS2,851.0946102703632,0.1719017416019154,0.0957246501360349,1.79579388754751,0.0725273032285167,0.2116120550073633
ENSG00000003400,CASP10,80.15705252847879,-0.4081207107741193,0.2273097938164878,-1.7954383043592224,0.0725838941911992,0.2116780757969208
ENSG00000003402,CFLAR,2546.614196808638,1.190432415722206,0.1206212173807702,9.869179250316437,5.662603444701146e-23,4.815349759484541e-21
ENSG00000003436,TFPI,4469.515471113917,-0.1966116381119131,0.1497927421716781,-1.31255783999585,0.1893319839253713,0.4140818884152121
ENSG00000003509,NDUFAF7,290.81491694550766,-0.0510652770041916,0.1359037461548041,-0.3757459117133139,0.7071058021437777,0.8667779561465985
ENSG00000003756,RBM5,2117.464341494091,-0.1887546345390242,0.0951184609600433,-1.9844164070139323,0.0472094384795909,0.1540716431770574
ENSG00000003987,MTMR7,25.50431870980864,1.0048048532862162,0.372656459705863,2.6963301644611413,0.0070108138557123,0.0345708293738463
ENSG00000003989,SLC7A2,38.43973323770939,0.551452224036842,0.3802806405424548,1.4501191100609747,0.1470253069209569,0.3513018201684574
ENSG00000004059,ARF5,1225.3542531808755,0.3665876829028547,0.0882774082510191,4.152678359795669,3.2860645297619004e-05,0.0003255009414425689
ENSG00000004139,SARM1,84.88265140516039,-0.166272995564139,0.2207256716546776,-0.7533015725704569,0.4512687140415242,0.6919824526722095
ENSG00000004142,POLDIP2,1460.11823233908,0.1435667839309347,0.0868849198413794,1.6523786198230486,0.0984573912097789,0.2630004220965912
ENSG00000004399,PLXND1,3634.4877484658455,-0.038990871384691,0.1124695754385537,-0.346679279553191,0.7288322784563148,0.8791380492760994
ENSG00000004455,AK2,1224.8387300395143,0.0301407369166638,0.1198740914520987,0.2514366244745051,0.8014765547422118,0.9155379121082624
ENSG00000004478,FKBP4,466.43617817079314,-0.0734351318104258,0.1138361038629259,-0.6450952669537214,0.5188654508712196,0.7428020605341338
ENSG00000004487,KDM1A,1237.7998770234442,-0.299509147350556,0.0876460139594358,-3.417259197767675,0.0006325502477519166,0.0045162835114738
ENSG00000004534,RBM6,1285.2288139674883,-0.1881498597246755,0.0915297101113252,-2.055615160321535,0.0398196253342466,0.13570287439051
ENSG00000004660,CAMKK1,78.12024975269338,-0.5646582594315092,0.2692710134164595,-2.0969886519430085,0.0359945799152239,0.1254241017787874
ENSG00000004700,RECQL,1035.3305423271624,0.3685894176342098,0.1016899648366125,3.6246390509273017,0.0002893653013787252,0.0022760373705303
ENSG00000004766,VPS50,478.92540525978006,-0.0302649968378913,0.1125771068669101,-0.2688379341074288,0.7880544003858007,0.9092741281903572
ENSG00000004776,HSPB6,2774.5615253030705,-0.073835910933394,0.0893385576884515,-0.8264730575893154,0.4085357953972065,0.6557816151207229
ENSG00000004777,ARHGAP33,97.18124285380776,-0.4091849792215346,0.2144336469506755,-1.9082125638410472,0.0563637484268633,0.1760134516957376
ENSG00000004779,NDUFAB1,365.6766044907974,0.1043818524222366,0.1279196097886326,0.8159957069499468,0.4145025910887459,0.6613590027167234
ENSG00000004799,PDK4,914.3790140677144,2.6449272835195106,0.6285646166336404,4.207884461719724,2.577725978351164e-05,0.00026329316678591944
ENSG00000004838,ZMYND10,12.807440001835436,-0.4146736199250676,0.5537101140334344,-0.7489002086388269,0.4539173545666317,0.6939670814644074
ENSG00000004846,ABCB5,17.999168068710066,-1.6978358824774422,0.5578655927577127,-3.0434497207194338,0.0023388252078888,0.0137972319528208
ENSG00000004864,SLC25A13,150.4425435651928,-0.000643432035279949,0.1735111810456419,-0.003708303011958,0.9970412090612892,0.9987712065940224
ENSG00000004866,ST7,412.1290495980938,-0.5621083354367256,0.1361738272773105,-4.127873517809135,3.661333994290936e-05,0.000359121486665272
ENSG00000004897,CDC27,1518.0856011058431,0.0541794782382425,0.0879130319627152,0.6162849469373387,0.5377064720577585,0.7573398346382652
ENSG00000004961,HCCS,437.43319242478253,-0.1466703435846237,0.1331869939217494,-1.1012362338532553,0.2707938556229979,0.5172570066933043
ENSG00000004975,DVL2,991.984168983081,-0.3200579517748763,0.0975310239061332,-3.2816014736286334,0.0010321937722165,0.0068868946430498
ENSG00000005007,UPF1,2261.9715993141904,0.2392484831996604,0.0828300900760887,2.8884247618212626,0.0038717664196533,0.0210622223939379
ENSG00000005020,SKAP2,755.6892624207246,0.217551787269085,0.1097228133893701,1.982739783540414,0.0473965032969737,0.1546261602312418
ENSG00000005022,SLC25A5,1118.964640205737,-0.0327762500253201,0.0945508732959187,-0.3466520073562865,0.7288527694994,0.8791380492760994
ENSG00000005059,MCUB,211.73003942417287,0.087067226580585,0.155281458027263,0.5607058800626313,0.5749980580419896,0.7848962490733152
ENSG00000005075,POLR2J,817.8824317684209,0.0569940504150296,0.1085016188965066,0.5252829496432945,0.5993865084275367,0.8003423609043846
ENSG00000005100,DHX33,485.1555030108749,0.3608760716722415,0.1321737289413496,2.730316187359559,0.0063273607127447,0.0317389145602007
ENSG00000005108,THSD7A,10.560102151931268,0.5557588077100654,0.5795236762529699,0.9589924113255196,0.3375625681620821,0.5879329290831515
ENSG00000005156,LIG3,205.6626587976837,-0.3927208756480261,0.1718071017487026,-2.285824460402387,0.0222645300886252,0.086617382053892
ENSG00000005175,RPAP3,312.2849587142148,-0.2234575229117708,0.136977850381445,-1.6313405582691216,0.1028184798527134,0.2718917914744179
