date,META,AAPL,AMZN,NFLX,GOOGL,NVDA,AZN
2022-12-05,122.430000,146.630000,91.010000,31.259000,99.480000,16.610000,136.750000
2022-12-06,114.120000,142.910000,88.250000,30.556000,96.980000,15.987000,136.750000
2022-12-07,113.930000,140.940000,88.460000,30.842000,94.940000,16.120000,136.000000
2022-12-08,115.330000,142.650000,90.350000,31.026000,93.710000,17.169000,139.040000
2022-12-09,115.900000,142.160000,89.090000,32.001000,92.830000,17.001000,139.450000
2022-12-12,114.710000,144.490000,90.550000,31.518000,93.310000,17.535000,138.550100
2022-12-13,120.150000,145.470000,92.490000,32.034000,95.630000,18.072000,139.500000
2022-12-14,121.590000,143.210000,91.580000,31.783000,95.070000,17.674000,139.759900
2022-12-15,116.150000,136.500000,88.450000,29.041000,90.860000,16.952000,137.979900
2022-12-16,119.430000,134.510000,87.860000,29.071000,90.260000,16.571000,135.099900
2022-12-19,114.480000,132.370000,84.920000,28.830000,88.440000,16.254000,136.520000
2022-12-20,117.090000,132.300000,85.190000,28.819000,89.020000,16.085000,133.639900
2022-12-21,119.760000,135.450000,86.770000,29.796000,89.580000,16.501000,134.650000
2022-12-22,117.120000,132.230000,83.790000,29.775000,87.760000,15.339000,134.419900
2022-12-23,118.040000,131.860000,85.250000,29.496500,89.230000,15.206000,136.400000
2022-12-27,116.880000,130.030000,83.040000,28.417000,87.390000,14.121000,136.660000
2022-12-28,115.620000,126.040000,81.820000,27.688000,86.020000,14.036000,136.000000
2022-12-29,120.260000,129.610000,84.180000,29.112000,88.450000,14.603000,135.109900
2022-12-30,120.340000,129.930000,84.000000,29.488000,88.230000,14.614000,136.220000
2023-01-03,124.740000,125.070000,85.820000,29.495000,89.120000,14.315000,136.440000
2023-01-04,127.370000,126.360000,85.140000,30.941000,88.080000,14.749000,138.039900
2023-01-05,126.940000,125.020000,83.120000,30.970000,86.200000,14.265000,140.960000
2023-01-06,130.020000,129.620000,86.080000,31.555000,87.340000,14.859000,140.260000
2023-01-09,129.470000,130.150000,87.360000,31.517000,88.020000,15.628000,140.250000
2023-01-10,132.990000,130.730000,89.870000,32.754000,88.420000,15.909000,143.960000
2023-01-11,132.890000,133.490000,95.090000,32.726000,91.520000,16.001000,140.949900
2023-01-12,136.710000,133.410000,95.270000,33.013000,91.130000,16.511000,138.660000
2023-01-13,136.980000,134.760000,98.120000,33.282000,92.120000,16.899000,143.400000
2023-01-17,135.360000,135.940000,96.050000,32.622000,91.290000,17.702000,143.625000
2023-01-18,133.020000,135.210000,95.460000,32.633000,91.120000,17.377000,141.199900
2023-01-19,136.150000,135.270000,93.680000,31.578000,93.050000,16.765000,140.009900
2023-01-20,139.370000,137.870000,97.250000,34.250000,98.020000,17.839000,136.460000
2023-01-23,143.270000,141.110000,97.520000,35.742000,99.790000,19.193000,133.680000
2023-01-24,143.140000,142.530000,96.320000,36.383000,97.700000,19.265000,129.500000
2023-01-25,141.500000,141.860000,97.180000,36.796000,95.220000,19.323000,131.720000
2023-01-26,147.300000,143.960000,99.220000,36.487000,97.520000,19.802000,130.650000
2023-01-27,151.740000,145.930000,102.240000,36.077000,99.370000,20.365000,129.819900
2023-01-30,147.060000,143.000000,100.550000,35.311000,96.940000,19.162000,129.360000
2023-01-31,148.970000,144.290000,103.130000,35.386000,98.840000,19.537000,128.000000
2023-02-01,153.120000,145.430000,105.150000,36.199000,100.430000,20.943000,127.800000
2023-02-02,188.770000,150.820000,112.910000,36.689000,107.740000,21.709000,127.080000
2023-02-03,186.530000,154.500000,103.390000,36.590000,104.780000,21.100000,128.400000
2023-02-06,186.060000,151.730000,102.180000,36.148000,102.900000,21.089000,125.920000
2023-02-07,191.620000,154.650000,102.110000,36.295000,107.640000,22.173000,128.700000
2023-02-08,183.430000,151.920000,100.050000,36.683000,99.370000,22.205000,128.010000
2023-02-09,177.920000,150.870000,98.240000,36.250000,95.010000,22.337000,136.250000
2023-02-10,174.150000,151.010000,97.610000,34.736000,94.570000,21.265000,139.280000
2023-02-13,179.430000,153.850000,99.540000,35.857000,94.610000,21.788000,139.280000
2023-02-14,179.480000,153.200000,99.700000,35.996000,94.680000,22.971000,137.250000
2023-02-15,177.160000,155.330000,101.160000,36.142000,96.940000,22.764000,140.780000
2023-02-16,172.440000,153.710000,98.150000,35.071000,95.510000,22.002000,137.940000
2023-02-17,172.880000,152.550000,97.200000,34.796000,94.350000,21.388000,136.400000
2023-02-21,172.080000,148.480000,94.580000,33.750000,91.790000,20.655000,140.520000
2023-02-22,171.120000,148.910000,95.790000,33.488000,91.650000,20.754000,140.040000
2023-02-23,172.040000,149.400000,95.820000,32.365000,90.890000,23.664000,134.740000
2023-02-24,170.390000,146.710000,93.500000,31.715000,89.130000,23.286000,133.830000
2023-02-27,169.540000,147.920000,93.760000,32.303000,89.870000,23.501000,135.320000
2023-02-28,174.940000,147.410000,94.230000,32.213000,90.060000,23.216000,129.220000
2023-03-01,173.420000,145.310000,92.170000,31.348000,90.360000,22.698000,128.600000
2023-03-02,174.530000,145.910000,92.130000,31.188000,92.000000,23.314000,131.560000
2023-03-03,185.250000,151.030000,94.900000,31.518000,93.650000,23.890000,130.000000
2023-03-06,184.900000,153.830000,93.750000,31.203000,95.130000,23.554000,130.200000
2023-03-07,184.510000,151.600000,93.550000,30.847000,93.860000,23.288000,128.900000
2023-03-08,184.970000,152.870000,93.920000,31.179000,94.250000,24.181000,127.630000
2023-03-09,181.690000,150.590000,92.250000,29.778000,92.320000,23.436000,127.349900
2023-03-10,179.510000,148.500000,90.730000,29.276000,90.630000,22.965000,129.840000
2023-03-13,180.900000,150.470000,92.430000,29.351000,91.110000,22.966000,129.250000
2023-03-14,194.020000,152.590000,94.880000,29.494000,93.970000,24.063000,131.240000
2023-03-15,197.750000,152.990000,96.200000,30.379000,96.110000,24.228000,127.840000
2023-03-16,204.930000,155.850000,100.040000,31.006000,100.320000,25.541000,130.060000
2023-03-17,195.610000,155.000000,98.950000,30.350000,101.620000,25.725000,130.555000
2023-03-20,197.810000,157.400000,97.710000,30.513000,101.220000,25.900000,133.120000
2023-03-21,202.160000,159.280000,100.610000,30.579000,104.920000,26.199000,134.740000
2023-03-22,199.810000,157.830000,98.700000,29.390000,103.370000,26.468000,135.560000
2023-03-23,204.280000,158.930000,98.710000,32.037000,105.600000,27.191000,133.780000
2023-03-24,206.010000,160.250000,98.130000,32.839000,105.440000,26.779000,136.700000
2023-03-27,202.840000,158.280000,98.040000,32.766000,102.460000,26.531000,137.342500
2023-03-28,200.680000,157.650000,97.240000,32.352000,101.030000,26.410000,138.680000
2023-03-29,205.350000,160.770000,100.250000,33.203000,101.390000,26.984000,136.300000
2023-03-30,207.840000,162.360000,102.000000,33.843000,100.890000,27.383000,139.300000
2023-03-31,211.940000,164.900000,103.290000,34.548000,103.730000,27.777000,140.160000
2023-04-03,213.070000,166.170000,102.410000,34.828000,104.360000,27.965000,137.500000
2023-04-04,214.720000,165.630000,103.950000,34.675000,104.720000,27.453000,141.450000
2023-04-05,211.480000,163.760000,101.100000,34.235000,104.470000,26.881000,142.849900
2023-04-06,216.100000,164.660000,102.060000,33.933000,108.420000,27.037000,142.849900
2023-04-10,214.750000,162.030000,102.170000,33.899000,106.440000,27.579000,144.760000
2023-04-11,213.850000,160.800000,99.920000,33.821000,105.350000,27.169000,142.750000
2023-04-12,214.000000,160.100000,97.830000,33.103000,104.640000,26.495000,147.250000
2023-04-13,220.350000,165.560000,102.400000,34.619000,107.430000,26.463000,149.650000
2023-04-14,221.490000,165.210000,102.510000,33.863000,108.870000,26.758000,146.080000
2023-04-17,218.860000,165.230000,102.740000,33.272000,105.970000,27.002000,146.780000
2023-04-18,217.890000,166.470000,102.300000,33.370000,104.500000,27.667000,148.880000
2023-04-19,215.700000,167.630000,104.300000,32.312000,104.180000,27.931000,147.780000
2023-04-20,213.070000,166.650000,103.810000,32.535000,105.290000,27.104000,147.609900
2023-04-21,212.890000,165.020000,106.960000,32.798000,105.410000,27.119000,151.740000
2023-04-24,212.790000,165.330000,106.210000,32.902000,105.970000,27.042000,153.100000
2023-04-25,207.550000,163.770000,102.570000,32.255000,103.850000,26.241000,151.000000
2023-04-26,209.400000,163.760000,104.980000,32.115000,103.710000,26.956000,147.150000
2023-04-27,238.560000,168.410000,109.820000,32.585000,107.590000,27.226000,146.000000
2023-04-28,240.320000,169.680000,105.450000,32.993000,107.340000,27.749000,146.550000
2023-05-01,243.180000,169.590000,102.050000,32.412000,107.200000,28.910000,146.310000
2023-05-02,239.240000,168.540000,103.630000,31.755000,105.320000,28.210000,146.150000
2023-05-03,237.030000,167.450000,103.650000,31.930000,105.410000,27.802000,151.300000
2023-05-04,233.520000,165.790000,104.000000,32.078000,104.690000,27.562000,150.500000
2023-05-05,232.780000,173.570000,105.655000,32.276000,105.570000,28.680000,148.500000
2023-05-08,233.270000,173.500000,105.830000,33.121000,107.770000,29.151000,147.050100
2023-05-09,233.370000,171.770000,106.620000,33.214000,107.350000,28.571000,149.099900
2023-05-10,233.080000,173.555000,110.190000,33.542000,111.750000,28.885000,151.000000
2023-05-11,235.790000,173.750000,112.180000,34.476000,116.570000,28.578000,150.640000
2023-05-12,233.810000,172.570000,110.260000,33.989000,117.510000,28.340000,145.800100
2023-05-15,238.860000,172.070000,111.200000,33.589000,116.510000,28.953000,149.449900
2023-05-16,238.820000,172.070000,113.400000,33.375000,119.510000,29.213000,151.200000
2023-05-17,242.485000,172.690000,115.500000,33.996000,120.840000,30.178000,147.200000
2023-05-18,246.850000,175.050000,118.150000,37.129000,122.830000,31.678000,146.440000
2023-05-19,245.640000,175.160000,116.250000,36.536000,122.760000,31.264000,150.960000
2023-05-22,248.320000,174.200000,115.010000,36.301000,125.050000,31.176000,147.900000
2023-05-23,246.740000,171.560000,114.990000,35.599000,122.560000,30.688000,147.940000
2023-05-24,249.210000,171.840000,116.750000,36.485000,120.900000,30.538000,143.750000
2023-05-25,252.690000,172.990000,115.000000,35.900000,123.480000,37.980000,145.260000
2023-05-26,262.040000,175.430000,120.110000,37.888000,124.610000,38.946000,144.550000
2023-05-30,262.520000,177.300000,121.660000,39.298000,123.670000,40.111000,141.139900
2023-05-31,264.720000,177.250000,120.580000,39.523000,122.870000,37.834000,146.080000
2023-06-01,272.610000,180.090000,122.770000,40.313000,123.720000,39.770000,147.700000
2023-06-02,272.610000,180.950000,124.250000,40.047000,124.670000,39.327000,147.120000
2023-06-05,271.390000,179.580000,125.300000,40.354000,126.010000,39.171000,145.187500
2023-06-06,271.120000,179.210000,126.610000,39.929000,127.310000,38.654000,145.450000
2023-06-07,263.600000,177.820000,121.230000,39.977000,122.500000,37.475000,146.900000
2023-06-08,264.580000,180.570000,124.250000,40.937000,122.140000,38.510000,144.500000
2023-06-09,264.950000,180.960000,123.430000,42.002000,122.230000,38.770000,149.300000
2023-06-12,271.050000,183.790000,126.570000,42.397000,123.640000,39.482000,148.860000
2023-06-13,271.320000,183.310000,126.660000,43.573000,123.830000,41.022000,149.500000
2023-06-14,273.350000,183.950000,126.420000,44.086000,123.670000,42.997000,146.875000
2023-06-15,281.830000,186.010000,127.110000,44.527000,125.090000,42.653000,149.250000
2023-06-16,281.000000,184.920000,125.490000,43.196000,123.530000,42.692000,149.510000
2023-06-20,284.330000,185.010000,125.780000,43.470000,123.100000,43.808000,149.250000
2023-06-21,281.640000,183.960000,124.830000,42.445000,120.550000,43.045000,148.660000
2023-06-22,284.880000,187.000000,130.150000,42.248000,123.150000,43.025000,146.680000
2023-06-23,288.730000,186.680000,129.330000,42.402000,122.340000,42.209000,146.150000
2023-06-26,278.470000,185.270000,127.330000,41.594000,118.340000,40.632000,142.750000
2023-06-27,287.050000,188.060000,129.180000,41.708000,118.330000,41.876000,142.750000
2023-06-28,285.290000,189.250000,129.040000,42.984000,120.180000,41.117000,140.400000
2023-06-29,281.530000,189.590000,127.900000,42.824000,119.100000,40.822000,142.910000
2023-06-30,286.980000,193.970000,130.360000,44.049000,119.700000,42.302000,143.900000
2023-07-03,286.020000,192.460000,130.220000,44.144000,119.900000,42.413000,133.235000
